"","svmRadial","svmLinear","knn","rf","lm"
"RMSE",195.122072820751,114.48832501918,249.55358542806,148.867245744551,163.188929241663
"Rsquared",0.820893796046624,0.945624455786641,0.583299897452987,0.895737998131798,0.932466182133335
"MAE",117.644533927031,87.0412737850792,195.253333333333,62.6109511111111,119.220233544153
